ID,ProductID,CharID,CharacteristicName,ValueID,ValueName,createdAt,createdBy,modifiedAt,modifiedBy
10000000-0000-0000-0000-000000000001,339155,H_SERIES,Hutch Series,REGAL,Regal,2026-02-24T10:00:00Z,admin,2026-02-24T10:00:00Z,admin
10000000-0000-0000-0000-000000000002,339155,H_SERIES,Hutch Series,LIBERTY,Liberty,2026-02-24T10:00:00Z,admin,2026-02-24T10:00:00Z,admin
10000000-0000-0000-0000-000000000003,339155,H_SERIES,Hutch Series,ELITE,Elite,2026-02-24T10:00:00Z,admin,2026-02-24T10:00:00Z,admin
10000000-0000-0000-0000-000000000004,339155,H_TYPE,Hutch Type,OVERHEAD,Overhead,2026-02-24T10:00:00Z,admin,2026-02-24T10:00:00Z,admin
10000000-0000-0000-0000-000000000005,339155,H_DOOR,Hutch Door,NA,Not Available,2026-02-24T10:00:00Z,admin,2026-02-24T10:00:00Z,admin
10000000-0000-0000-0000-000000000006,339155,H_DIM,Hutch Dimensions,D1,10X20X30,2026-02-24T10:00:00Z,admin,2026-02-24T10:00:00Z,admin
10000000-0000-0000-0000-000000000007,339155,H_DIM,Hutch Dimensions,D2,10X20X40,2026-02-24T10:00:00Z,admin,2026-02-24T10:00:00Z,admin
10000000-0000-0000-0000-000000000008,339155,H_DIM,Hutch Dimensions,D3,10X20X50,2026-02-24T10:00:00Z,admin,2026-02-24T10:00:00Z,admin
10000000-0000-0000-0000-000000000009,339155,H_HARDWARE,Hutch Hardware,AB1,Antique Brass,2026-02-24T10:00:00Z,admin,2026-02-24T10:00:00Z,admin
10000000-0000-0000-0000-000000000010,339155,H_HARDWARE,Hutch Hardware,SN1,Satin Nickle,2026-02-24T10:00:00Z,admin,2026-02-24T10:00:00Z,admin
10000000-0000-0000-0000-000000000011,314408,A_FABRIC,Accent Fabric,LINEN,Linen Stripe,2026-02-24T10:00:00Z,admin,2026-02-24T10:00:00Z,admin
10000000-0000-0000-0000-000000000012,314408,A_FABRIC,Accent Fabric,VELVET,Velvet Navy,2026-02-24T10:00:00Z,admin,2026-02-24T10:00:00Z,admin
10000000-0000-0000-0000-000000000013,314408,A_LEG,Leg Finish,BLACK,Matte Black,2026-02-24T10:00:00Z,admin,2026-02-24T10:00:00Z,admin
10000000-0000-0000-0000-000000000014,314408,A_LEG,Leg Finish,OAK,White Oak,2026-02-24T10:00:00Z,admin,2026-02-24T10:00:00Z,admin
10000000-0000-0000-0000-000000000015,314410,L_UPHOLSTERY,Lounge Upholstery,NAVY,Navy Weave,2026-02-24T10:00:00Z,admin,2026-02-24T10:00:00Z,admin
10000000-0000-0000-0000-000000000016,314410,L_UPHOLSTERY,Lounge Upholstery,SAND,Sand Boucle,2026-02-24T10:00:00Z,admin,2026-02-24T10:00:00Z,admin
10000000-0000-0000-0000-000000000017,314410,L_BASE,Lounge Base,WOOD,Timber Base,2026-02-24T10:00:00Z,admin,2026-02-24T10:00:00Z,admin
10000000-0000-0000-0000-000000000018,314410,L_BASE,Lounge Base,SWIVEL,Swivel Base,2026-02-24T10:00:00Z,admin,2026-02-24T10:00:00Z,admin
10000000-0000-0000-0000-000000000019,335235,S_TOP,Studio Top,ASH,Ash Top,2026-02-24T10:00:00Z,admin,2026-02-24T10:00:00Z,admin
10000000-0000-0000-0000-000000000020,335235,S_TOP,Studio Top,WALNUT,Walnut Top,2026-02-24T10:00:00Z,admin,2026-02-24T10:00:00Z,admin
10000000-0000-0000-0000-000000000021,335235,S_SIZE,Studio Size,SMALL,Small 48 Inch,2026-02-24T10:00:00Z,admin,2026-02-24T10:00:00Z,admin
10000000-0000-0000-0000-000000000022,335235,S_SIZE,Studio Size,LARGE,Large 72 Inch,2026-02-24T10:00:00Z,admin,2026-02-24T10:00:00Z,admin
10000000-0000-0000-0000-000000000023,335235,S_POWER,Power Module,NA,None,2026-02-24T10:00:00Z,admin,2026-02-24T10:00:00Z,admin
10000000-0000-0000-0000-000000000024,335235,S_POWER,Power Module,USB,USB + AC Module,2026-02-24T10:00:00Z,admin,2026-02-24T10:00:00Z,admin
